Código,Descripción,URL Imagen,URL Producto,,Precio,Vista
205010823,Insecticida Efecto,DESINFECTANTES E INSECTICIDAS > Insecticidas,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/12-insecticida-efecto-bb20d5e2a3bf10c6a117860403914050-1024-1024.webp,https://www.msanchezycia.com.ar/productos/insecticida-efecto/,100,0
205010826,Efecto Casa y Jardin,DESINFECTANTES E INSECTICIDAS > Insecticidas,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/13-efecto-casa-y-jardin-d08a205a11865b693a17860402468684-1024-1024.webp,https://www.msanchezycia.com.ar/productos/efecto-casa-y-jardin/,100,0
205010827,Efecto Cucarachas,DESINFECTANTES E INSECTICIDAS > Insecticidas,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/14-efecto-cucarachas-ce497e41fda7b9ee2117860402762215-1024-1024.webp,https://www.msanchezycia.com.ar/productos/efecto-cucarachas/,100,0
205010830,Efecto Ultra Cuca y Horm,DESINFECTANTES E INSECTICIDAS > Insecticidas,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/15-efecto-ultra-cuca-y-horm-6e3e7f637edb0b70f717860403065655-1024-1024.webp,https://www.msanchezycia.com.ar/productos/efecto-ultra-cuca-y-horm/,100,0
342510821,Facilim - Lustramuebles,LIMPIEZA INSTITUCIONAL > Limpiadores y removedores,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/16-3-facilim-lustramuebles-e8d45e0acfdeff7d9b17860401384775-1024-1024.webp,https://www.msanchezycia.com.ar/productos/facilim-lustramuebles/,100,0
342510821,Facilim - Lustramuebles,LIMPIEZA INSTITUCIONAL > Limpiadores y removedores,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/16-2-facilim-lustramuebles-b24f62790a3f8a949d17860401393168-1024-1024.webp,https://www.msanchezycia.com.ar/productos/facilim-lustramuebles/,100,1
342510821,Facilim - Lustramuebles,LIMPIEZA INSTITUCIONAL > Limpiadores y removedores,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/16-1-facilim-lustramuebles-3582a0ceeabfedfad517860401389843-1024-1024.webp,https://www.msanchezycia.com.ar/productos/facilim-lustramuebles/,100,2
306010829,Facilim - Lampazos,LIMPIEZA INSTITUCIONAL > Limpiadores y removedores,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/17-4-facilim-lampazos-3cea7187b8132a9f4b17860401964241-1024-1024.webp,https://www.msanchezycia.com.ar/productos/facilim-lampazos/,100,0
306010829,Facilim - Lampazos,LIMPIEZA INSTITUCIONAL > Limpiadores y removedores,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/17-3-facilim-lampazos-2917fd225c21d1b39817860401963781-1024-1024.webp,https://www.msanchezycia.com.ar/productos/facilim-lampazos/,100,1
306010829,Facilim - Lampazos,LIMPIEZA INSTITUCIONAL > Limpiadores y removedores,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/17-2-facilim-lampazos-3f76214993dad5e8ea17860401964700-1024-1024.webp,https://www.msanchezycia.com.ar/productos/facilim-lampazos/,100,2
